n,error_max,cond,time_s,memory_kb
2,2.384186e-07,1.800000e+01,1.824580e-04,5.156250e+00
3,5.960464e-06,6.600013e+02,2.212080e-04,4.968750e+00
4,6.747246e-05,2.000029e+04,2.914580e-04,5.109375e+00
5,8.550644e-03,7.985623e+05,4.752080e-04,5.273438e+00
6,7.796478e-02,2.808903e+07,5.007080e-04,5.445312e+00
7,1.511662e+00,1.636898e+09,6.036250e-04,5.625000e+00
8,4.616109e+01,3.866330e+09,9.126670e-04,5.812500e+00
9,2.932549e+01,1.238405e+10,1.052542e-03,6.007812e+00
10,4.285990e+01,4.993668e+09,1.020250e-03,6.210938e+00
11,2.489214e+02,3.357705e+09,1.420625e-03,6.421875e+00
12,3.322585e+01,3.578629e+09,1.455709e-03,6.640625e+00
13,4.361717e+01,5.490861e+09,1.604000e-03,6.867188e+00
14,3.568306e+01,4.667194e+09,1.856333e-03,7.101562e+00
15,7.582932e+01,9.277456e+09,2.060583e-03,7.343750e+00
16,1.891585e+02,1.521715e+10,2.420000e-03,7.593750e+00
17,2.742712e+02,2.643842e+10,2.897792e-03,7.851562e+00
18,7.075587e+01,1.865335e+10,2.854458e-03,8.117188e+00
19,3.184386e+01,2.049827e+10,3.132542e-03,8.390625e+00
20,4.516230e+01,3.203592e+10,3.520083e-03,8.671875e+00
